name;url;category;description;pricing;oss
Folk;https://folk.app;CRM Tools;AI-assisted CRM for pipeline tracking and outreach.;;
Streak;https://www.streak.com;CRM Tools;Manage deals, leads, and email outreach with AI insights.;;
HubSpot;https://hubspot.com;CRM Tools;Sales CRM with AI scoring, enrichment, and follow-ups.;;
Close;https://www.close.com;CRM Tools;Centralize contacts and automate sales workflows using AI.;;
Pipedrive;https://www.pipedrive.com;CRM Tools;AI-driven pipeline, forecasting, and account intelligence.;;
Zoho CRM;https://www.zoho.com/crm;CRM Tools;AI-assisted CRM for pipeline tracking and outreach.;;
Salesforce;https://salesforce.com;CRM Tools;Manage deals, leads, and email outreach with AI insights.;;
Freshsales;https://www.freshworks.com/crm;CRM Tools;Sales CRM with AI scoring, enrichment, and follow-ups.;;
Keap;https://keap.com;CRM Tools;Centralize contacts and automate sales workflows using AI.;;
Nimble;https://www.nimble.com;CRM Tools;AI-driven pipeline, forecasting, and account intelligence.;;
Mintlify;https://mintlify.com;CRM Tools;AI-assisted CRM for pipeline tracking and outreach.;;
AWS;https://aws.amazon.com/startups;CRM Tools;Manage deals, leads, and email outreach with AI insights.;;
Neo4j;https://neo4j.com/product/neo4j-graph-database;CRM Tools;Sales CRM with AI scoring, enrichment, and follow-ups.;;
Pinecone;https://www.pinecone.io/product;CRM Tools;Centralize contacts and automate sales workflows using AI.;;
Supabase;https://supabase.com;CRM Tools;Open-source Firebase alternative with database, auth, and storage.;;
Clerk;https://clerk.com/;CRM Tools;Authentication and user management platform with AI-enhanced workflows.;;
Ocoya;https://www.ocoya.com;Social Media Auto.;Schedule posts and generate captions with AI suggestions.;;
Predis.ai;https://predis.ai;Social Media Auto.;Automate social publishing and optimize performance with AI.;;
Lately.ai;https://www.lately.ai;Social Media Auto.;AI captions, queues, and analytics for social channels.;;
SocialBee + AI;https://socialbee.com;Social Media Auto.;Repurpose content and plan calendars using AI.;;
Flick;https://www.flick.social;Social Media Auto.;AI helps plan, write, and schedule social media posts.;;
ContentStudio;https://contentstudio.io;Social Media Auto.;Schedule posts and generate captions with AI suggestions.;;
Copy.ai;https://www.copy.ai;Social Media Auto.;Automate social publishing and optimize performance with AI.;;
Hootsuite OwlyWriter AI;https://www.hootsuite.com;Social Media Auto.;AI captions, queues, and analytics for social channels.;;
Postly;https://postly.ai;Social Media Auto.;Repurpose content and plan calendars using AI.;;
Vista Social;https://vistasocial.com;Social Media Auto.;AI helps plan, write, and schedule social media posts.;;
Buffer;https://buffer.com;Social Media Auto.;Schedule posts and generate captions with AI suggestions.;;
Metricool;https://metricool.com/;Social Media Auto.;Analytics and scheduling platform for social media, ads, and content performance.;;
Clay;https://clay.com;Lead Gen Tools;Find, enrich, and prioritize leads using AI.;;
Apollo.io;https://apollo.io;Lead Gen Tools;Prospect discovery with AI enrichment and outreach.;;
Phantombuster;https://phantombuster.com;Lead Gen Tools;AI scoring and enrichment for B2B lead generation.;;
LeadIQ;https://leadiq.com;Lead Gen Tools;Automate prospecting and email outreach with AI.;;
Snov.io;https://snov.io;Lead Gen Tools;AI-powered contact discovery and sequencing.;;
Lusha;https://www.lusha.com;Lead Gen Tools;Find, enrich, and prioritize leads using AI.;;
Seamless.ai;https://www.seamless.ai;Lead Gen Tools;Prospect discovery with AI enrichment and outreach.;;
Hunter.io;https://hunter.io;Lead Gen Tools;AI scoring and enrichment for B2B lead generation.;;
Clearbit;https://clearbit.com;Lead Gen Tools;Automate prospecting and email outreach with AI.;;
